id,d13C,C.amount,d15N,N.amount,well
AL1,-18.71,497.99,14.42,153.68,A1
AL11,-18.73,456.07,14.36,139.31,A2
AL12,-18.16,465.50,15.07,141.70,A3
AL13,-18.86,462.36,14.63,141.70,A4
AL14,-18.64,463.40,14.44,139.31,A5
AL2,-18.57,459.22,14.43,141.70,A6
AL21,-18.98,461.31,14.80,141.70,A7
AL22,-18.89,460.26,14.39,140.50,A8
AL23,-19.01,467.59,14.61,142.90,A9
AL24,-18.21,467.59,15.30,138.11,A10
AL29,-19.16,473.88,14.66,144.10,A11
AL3,-18.50,471.78,13.16,145.30,A12
AL32,-18.73,460.26,15.17,140.50,B1
AL5,-18.25,479.12,14.12,147.70,B2
AL6,-18.70,467.59,14.40,144.10,B3
AL7,-18.72,469.69,14.19,145.30,B4
CL11,-17.13,459.22,12.68,141.70,B5
CL12,-17.48,465.50,12.40,142.90,B6
CL17,-18.58,464.45,12.35,142.90,B7
CL19,-19.05,452.94,13.24,140.50,B8
CL21,-18.22,448.75,12.37,138.11,B9
CL23,-18.65,458.17,13.42,140.50,B10
CL24,-16.98,456.07,12.35,141.70,B11
CL25,-18.08,458.17,10.49,140.50,B12
CL27,-18.24,460.26,12.47,138.11,C1
CL28,-18.69,466.54,13.30,142.90,C2
CL29,-18.95,460.26,10.36,141.70,C3
CL31,-20.79,456.07,11.32,140.50,C4
CL38,-17.37,462.36,12.51,144.10,C5
CL39,-20.86,455.03,9.68,140.50,C6
CL40,-19.30,453.98,11.55,140.50,C7
CL41,-18.42,461.31,9.18,139.31,C8
CL42,-18.47,458.17,12.90,141.70,C9
CL45,-15.28,420.53,10.98,129.71,C10
CL47,-18.33,451.89,9.65,139.31,C11
CL50,-16.80,445.61,11.95,136.91,C12
CL53,-17.80,457.12,12.37,141.70,D1
CL54,-18.88,447.70,12.46,136.91,D2
CL58,-19.68,451.89,12.95,135.71,D3
CL9,-19.07,456.07,12.39,139.31,D4
LN1,-20.57,462.36,11.52,142.90,D5
LN10,-20.68,477.02,11.46,148.89,D6
LN11,-20.58,473.88,11.62,142.90,D7
LN12,-20.38,439.34,11.25,132.11,D8
LN13,-20.61,484.36,11.46,147.70,D9
LN14,-20.90,466.54,11.99,145.30,D10
LN15,-20.32,470.73,11.54,145.30,D11
LN16,-20.72,225.33,11.66,66.58,D12
LN17,-19.74,455.03,11.46,139.31,E1
LN18,-19.99,475.97,11.20,145.30,E2
LN19,-20.87,480.17,11.81,144.10,E3
LN2,-20.42,471.78,11.40,145.30,E4
LN20,-19.85,466.54,12.05,145.30,E5
LN21,-20.10,441.43,11.18,133.31,E6
LN22,-20.08,489.60,11.24,152.49,E7
LN23,-20.41,467.59,11.25,145.30,E8
LN24,-19.99,472.83,11.35,146.50,E9
LN25,-20.10,485.41,11.76,150.09,E10
LN3,-20.27,459.22,11.65,140.50,E11
LN4,-21.30,461.31,11.65,142.90,E12
LN5,-21.23,458.17,10.40,140.50,F1
LN6,-20.48,463.40,11.47,141.70,F2
LN7,-20.49,453.98,11.32,138.11,F3
LN8,-20.84,448.75,11.69,138.11,F4
LN9,-20.15,481.21,11.30,148.89,F5
SF1,-18.42,482.26,14.25,140.50,F6
SF10,-18.35,479.12,14.34,142.90,F7
SF12,-19.53,484.36,12.76,141.70,F8
SF2,-18.48,471.78,14.13,144.10,F9
SF22,-18.56,463.40,14.00,138.11,F10
SF23,-18.08,470.73,13.66,144.10,F11
SF24,-17.46,481.21,14.32,145.30,F12
SF25,-18.49,479.12,13.12,142.90,G1
SF27,-18.98,436.20,12.76,130.91,G2
SF28,-19.01,487.50,13.59,145.30,G3
SF29,-18.88,474.93,13.86,141.70,G4
SF3,-18.40,444.57,13.91,130.91,G5
SF30,-19.51,484.36,13.29,144.10,G6
SF32,-17.58,482.26,14.18,147.70,G7
SF33,-18.73,481.21,13.61,141.70,G8
SF4,-19.79,255.29,13.30,77.06,G9
SF5,-18.88,465.50,13.17,139.31,G10
SF58,-19.92,474.93,13.75,139.31,G11
SF7,-18.66,467.59,12.81,142.90,G12
SF83,-18.90,455.03,13.96,133.31,H1
SR1,-18.69,479.12,13.25,146.50,H2
SR105,-18.00,428.88,14.16,130.91,H3
SR107,-18.62,481.21,13.94,144.10,H4
SR113,-18.90,492.75,13.11,150.09,H5
SR114,-18.04,385.05,14.39,112.42,H6
SR120,-18.17,462.36,14.84,135.71,H7
SR125,-19.25,452.94,15.24,122.51,H8
SR128,-18.11,472.83,12.50,144.10,H9
SR130,-18.80,467.59,13.25,141.70,H10
SR131,-17.56,457.12,12.40,140.50,H11
SR133,-18.29,473.88,13.67,144.10,H12
SR137,-18.18,468.64,12.96,140.50,A1
SR141,-17.44,449.80,13.09,135.71,A2
SR144,-18.44,464.45,13.19,144.10,A3
SR148,-17.36,458.17,13.34,141.70,A4
SR149,-17.88,457.12,14.70,139.31,A5
SR15,-18.40,486.46,13.59,150.09,A6
SR18,-18.14,479.12,14.13,144.10,A7
SR20,-18.63,453.98,13.51,136.91,A8
SR25,-17.61,469.69,14.06,139.31,A9
SR34,-17.34,485.41,13.97,150.09,A10
SR37,-19.52,483.31,14.16,148.89,A11
SR45,-18.59,463.40,13.60,142.90,A12
SR51,-18.07,440.38,13.64,134.51,B1
SR58,-18.24,482.26,13.54,145.30,B2
SR80,-18.23,493.80,14.79,148.89,B3
SR88,-18.87,494.85,13.16,142.90,B4
SR89,-18.22,481.21,13.58,147.70,B5
SR92,-18.89,491.70,13.78,140.50,B6
SR96,-18.72,469.69,13.24,139.31,B7
